"dog_id" "context_id" "day_since_arrival" "behaviour_code_name" "behaviour_code_number" "behaviour_code_colour"
2 7 44 "[PL] Playful" 2 1
2 8 44 "[EQ] Eats Quickly" 6 2
2 1 45 "[FR] Friendly" 1 1
2 2 45 NA NA NA
2 3 45 NA NA NA
2 4 45 NA NA NA
2 5 45 NA NA NA
2 6 45 NA NA NA
2 7 45 NA NA NA
2 8 45 NA NA NA
2 1 46 NA NA NA
2 2 46 NA NA NA
2 3 46 "[FR] Friendly" 1 1
2 4 46 "[RE] Relaxed" 1 1
2 5 46 "[VO] Vocal" 2 1
2 6 46 "[EX] Excitable" 2 1
2 7 46 NA NA NA
2 8 46 "[RE] Relaxed" 1 1
2 1 47 "[OS] Overstimulated" 14 3
2 2 47 NA NA NA
2 3 47 "[FR] Friendly" 1 1
2 4 47 "[RE] Relaxed" 1 1
2 5 47 "[VO] Vocal" 2 1
2 6 47 "[EX] Excitable" 2 1
2 7 47 NA NA NA
2 8 47 "[RE] Relaxed" 1 1
2 1 48 "[PL] Playful" 2 1
2 2 48 NA NA NA
2 3 48 "[EX] Excitable" 2 1
2 4 48 "[EX] Excitable" 2 1
2 5 48 "[RPNA] React to People Non-Aggressive" 7 2
2 6 48 "[EX] Excitable" 2 1
2 7 48 NA NA NA
2 8 48 "[RE] Relaxed" 1 1
2 1 49 "[RDA] React to Dogs Aggressive" 16 3
2 2 49 "[EX] Excitable" 2 1
2 3 49 "[EX] Excitable" 2 1
2 4 49 "[RPA] React to People Aggressive" 11 3
2 5 49 "[ST] Stressed" 4 1
2 6 49 "[EX] Excitable" 2 1
2 7 49 "[PL] Playful" 2 1
2 8 49 "[RPA] React to People Aggressive" 15 3
2 1 50 NA NA NA
2 2 50 NA NA NA
2 3 50 "[EX] Excitable" 2 1
2 4 50 "[RE] Relaxed" 1 1
2 5 50 "[RPNA] React to People Non-Aggressive" 7 2
2 6 50 "[RE] Relaxed" 1 1
2 7 50 NA NA NA
2 8 50 "[RE] Relaxed" 1 1
2 1 51 NA NA NA
2 2 51 NA NA NA
2 3 51 "[EX] Excitable" 2 1
2 4 51 "[RE] Relaxed" 1 1
2 5 51 "[VO] Vocal" 2 1
2 6 51 "[EX] Excitable" 2 1
2 7 51 NA NA NA
2 8 51 "[RE] Relaxed" 1 1
2 1 52 NA NA NA
2 2 52 NA NA NA
2 3 52 "[EX] Excitable" 2 1
2 4 52 "[EX] Excitable" 2 1
2 5 52 "[ST] Stressed" 4 1
2 6 52 "[EX] Excitable" 2 1
2 7 52 "[PL] Playful" 2 1
2 8 52 "[RE] Relaxed" 1 1
2 1 53 NA NA NA
2 2 53 "[EX] Excitable" 2 1
2 3 53 "[EX] Excitable" 2 1
2 4 53 "[EX] Excitable" 2 1
2 5 53 "[ST] Stressed" 4 1
2 6 53 "[EX] Excitable" 2 1
2 7 53 "[OB] Obsessive" 4 2
2 8 53 "[RE] Relaxed" 1 1
2 1 54 NA NA NA
2 2 54 NA NA NA
2 3 54 "[EX] Excitable" 2 1
2 4 54 "[EX] Excitable" 2 1
2 5 54 "[ST] Stressed" 4 1
2 6 54 "[EX] Excitable" 2 1
2 7 54 "[PL] Playful" 2 1
2 8 54 "[RE] Relaxed" 1 1
2 1 55 "[RDA] React to Dogs Aggressive" 16 3
2 2 55 NA NA NA
2 3 55 "[EX] Excitable" 2 1
2 4 55 "[EX] Excitable" 2 1
2 5 55 "[RDNA] React to Dogs Non-Aggressive" 6 2
2 6 55 "[EX] Excitable" 2 1
2 7 55 "[PL] Playful" 2 1
2 8 55 "[RE] Relaxed" 1 1
2 1 56 NA NA NA
2 2 56 "[FR] Friendly" 1 1
2 3 56 "[FR] Friendly" 1 1
2 4 56 "[RE] Relaxed" 1 1
2 5 56 "[ST] Stressed" 4 1
2 6 56 NA NA NA
2 7 56 "[RE] Relaxed" 1 1
2 8 56 "[RPA] React to People Aggressive" 15 3
2 1 57 NA NA NA
2 2 57 NA NA NA
2 3 57 NA NA NA
2 4 57 NA NA NA
2 5 57 NA NA NA
