Inference for Stan model: jhb_ordinal_hurdle_model_model
2 chains: each with iter=(5000,5000); warmup=(0,0); thin=(1,1); 10000 iterations saved.

Warmup took (51891, 52317) seconds, 29 hours total
Sampling took (207010, 208747) seconds, 115 hours total

                    Mean     MCSE   StdDev        5%       50%       95%    N_Eff  N_Eff/s    R_hat
z_jg[1139,5]     4.1e-03  6.9e-03  9.9e-01  -1.6e+00   2.1e-03   1.6e+00  2.1e+04  5.0e-02  1.0e+00
z_jg[1139,6]     1.1e-03  7.0e-03  9.9e-01  -1.6e+00   2.0e-03   1.6e+00  2.0e+04  4.8e-02  1.0e+00
z_jg[1140,1]    -5.2e-01  5.9e-03  8.3e-01  -1.9e+00  -5.2e-01   8.3e-01  2.0e+04  4.8e-02  1.0e+00
z_jg[1140,2]     2.6e-01  6.8e-03  9.2e-01  -1.2e+00   2.7e-01   1.8e+00  1.8e+04  4.3e-02  1.0e+00
z_jg[1140,3]     3.9e-01  6.0e-03  7.7e-01  -9.0e-01   3.9e-01   1.7e+00  1.7e+04  4.1e-02  1.0e+00
z_jg[1140,4]    -2.5e-02  7.3e-03  9.9e-01  -1.7e+00  -1.5e-02   1.6e+00  1.9e+04  4.5e-02  1.0e+00
z_jg[1140,5]     6.0e-03  6.8e-03  9.9e-01  -1.6e+00   9.2e-03   1.6e+00  2.1e+04  5.0e-02  1.0e+00
z_jg[1140,6]    -4.2e-03  6.9e-03  9.9e-01  -1.6e+00  -9.7e-04   1.6e+00  2.1e+04  5.0e-02  1.0e+00
z_jg[1141,1]    -5.9e-01  5.6e-03  6.4e-01  -1.7e+00  -5.8e-01   4.3e-01  1.3e+04  3.2e-02  1.0e+00
z_jg[1141,2]     3.9e-01  6.8e-03  8.9e-01  -1.1e+00   3.9e-01   1.8e+00  1.7e+04  4.1e-02  1.0e+00
z_jg[1141,3]    -2.2e-01  5.9e-03  7.8e-01  -1.5e+00  -2.2e-01   1.1e+00  1.7e+04  4.2e-02  1.0e+00
z_jg[1141,4]    -6.5e-02  6.6e-03  9.6e-01  -1.7e+00  -4.7e-02   1.5e+00  2.1e+04  5.1e-02  1.0e+00
z_jg[1141,5]    -3.3e-03  6.7e-03  9.8e-01  -1.6e+00  -7.2e-03   1.6e+00  2.1e+04  5.1e-02  1.0e+00
z_jg[1141,6]    -1.3e-02  6.9e-03  1.0e+00  -1.7e+00  -1.3e-02   1.6e+00  2.1e+04  5.0e-02  1.0e+00
z_jg[1142,1]     2.9e-01  7.5e-03  5.9e-01  -7.1e-01   3.0e-01   1.2e+00  6.2e+03  1.5e-02  1.0e+00
z_jg[1142,2]    -1.4e+00  9.2e-03  8.4e-01  -2.7e+00  -1.4e+00   2.9e-02  8.3e+03  2.0e-02  1.0e+00
z_jg[1142,3]    -7.5e-01  6.0e-03  7.6e-01  -2.0e+00  -7.5e-01   5.2e-01  1.6e+04  3.9e-02  1.0e+00
z_jg[1142,4]    -1.6e-01  6.3e-03  9.1e-01  -1.7e+00  -1.4e-01   1.3e+00  2.0e+04  4.9e-02  1.0e+00
z_jg[1142,5]    -8.4e-03  6.9e-03  9.9e-01  -1.6e+00  -3.3e-03   1.6e+00  2.1e+04  5.0e-02  1.0e+00
z_jg[1142,6]     1.5e-03  7.4e-03  1.0e+00  -1.6e+00   5.9e-04   1.6e+00  1.9e+04  4.5e-02  1.0e+00
z_jg[1143,1]     3.9e-02  8.1e-03  9.5e-01  -1.5e+00   4.8e-02   1.6e+00  1.4e+04  3.3e-02  1.0e+00
z_jg[1143,2]    -2.8e-01  1.1e-02  1.0e+00  -2.0e+00  -2.8e-01   1.4e+00  8.7e+03  2.1e-02  1.0e+00
z_jg[1143,3]     2.4e+00  6.0e-03  7.9e-01   1.1e+00   2.3e+00   3.7e+00  1.7e+04  4.2e-02  1.0e+00
z_jg[1143,4]    -3.7e-02  7.2e-03  9.7e-01  -1.7e+00  -2.7e-02   1.5e+00  1.8e+04  4.4e-02  1.0e+00
z_jg[1143,5]    -7.7e-03  7.2e-03  9.9e-01  -1.6e+00   3.5e-04   1.6e+00  1.9e+04  4.6e-02  1.0e+00
z_jg[1143,6]     4.8e-03  6.8e-03  1.0e+00  -1.6e+00  -1.3e-04   1.6e+00  2.1e+04  5.1e-02  1.0e+00
z_jg[1144,1]    -4.4e-01  6.6e-03  8.5e-01  -1.9e+00  -4.2e-01   9.0e-01  1.6e+04  3.9e-02  1.0e+00
z_jg[1144,2]     2.3e-01  6.7e-03  9.3e-01  -1.3e+00   2.2e-01   1.8e+00  1.9e+04  4.7e-02  1.0e+00
z_jg[1144,3]    -4.4e-01  5.6e-03  7.7e-01  -1.7e+00  -4.3e-01   8.3e-01  1.9e+04  4.5e-02  1.0e+00
z_jg[1144,4]    -1.5e-01  6.6e-03  9.3e-01  -1.7e+00  -1.4e-01   1.3e+00  2.0e+04  4.8e-02  1.0e+00
z_jg[1144,5]    -4.0e-03  7.1e-03  1.0e+00  -1.7e+00  -4.3e-03   1.6e+00  2.0e+04  4.8e-02  1.0e+00
z_jg[1144,6]     1.2e-03  6.8e-03  1.0e+00  -1.6e+00   1.1e-02   1.6e+00  2.2e+04  5.2e-02  1.0e+00
z_jg[1145,1]    -8.3e-02  6.2e-03  7.4e-01  -1.3e+00  -9.2e-02   1.1e+00  1.4e+04  3.4e-02  1.0e+00
z_jg[1145,2]    -1.1e-01  7.6e-03  9.1e-01  -1.6e+00  -1.2e-01   1.4e+00  1.4e+04  3.4e-02  1.0e+00
z_jg[1145,3]    -8.1e-01  6.2e-03  8.8e-01  -2.3e+00  -8.3e-01   6.5e-01  2.1e+04  4.9e-02  1.0e+00
z_jg[1145,4]    -4.6e-01  6.5e-03  8.6e-01  -1.9e+00  -4.5e-01   9.4e-01  1.8e+04  4.3e-02  1.0e+00
z_jg[1145,5]     6.4e-02  6.8e-03  9.9e-01  -1.6e+00   7.0e-02   1.7e+00  2.1e+04  5.1e-02  1.0e+00
z_jg[1145,6]     1.4e-03  7.6e-03  1.0e+00  -1.6e+00  -5.0e-04   1.6e+00  1.7e+04  4.2e-02  1.0e+00
z_jg[1146,1]    -2.2e-01  6.5e-03  9.1e-01  -1.7e+00  -2.1e-01   1.3e+00  2.0e+04  4.7e-02  1.0e+00
z_jg[1146,2]     6.1e-02  6.8e-03  9.7e-01  -1.5e+00   5.3e-02   1.7e+00  2.0e+04  4.8e-02  1.0e+00
z_jg[1146,3]     6.6e-02  6.7e-03  9.2e-01  -1.4e+00   7.0e-02   1.6e+00  1.8e+04  4.4e-02  1.0e+00
z_jg[1146,4]    -2.0e-01  6.6e-03  9.0e-01  -1.7e+00  -1.7e-01   1.3e+00  1.8e+04  4.4e-02  1.0e+00
z_jg[1146,5]     2.6e-02  7.1e-03  9.9e-01  -1.6e+00   2.8e-02   1.6e+00  1.9e+04  4.7e-02  1.0e+00
z_jg[1146,6]    -1.1e-02  6.8e-03  1.0e+00  -1.7e+00  -1.6e-02   1.6e+00  2.2e+04  5.2e-02  1.0e+00
z_jg[1147,1]    -1.6e-01  6.5e-03  9.2e-01  -1.7e+00  -1.5e-01   1.3e+00  2.0e+04  4.8e-02  1.0e+00
z_jg[1147,2]     4.9e-02  6.5e-03  9.5e-01  -1.5e+00   4.9e-02   1.6e+00  2.1e+04  5.1e-02  1.0e+00
z_jg[1147,3]     1.3e-01  6.5e-03  8.7e-01  -1.3e+00   1.3e-01   1.6e+00  1.8e+04  4.3e-02  1.0e+00
z_jg[1147,4]    -8.7e-02  6.9e-03  9.6e-01  -1.7e+00  -7.4e-02   1.5e+00  1.9e+04  4.6e-02  1.0e+00
z_jg[1147,5]     8.2e-03  7.2e-03  1.0e+00  -1.7e+00  -6.8e-04   1.7e+00  2.0e+04  4.7e-02  1.0e+00
z_jg[1147,6]     1.1e-02  7.0e-03  1.0e+00  -1.6e+00   1.4e-02   1.7e+00  2.0e+04  4.9e-02  1.0e+00
z_jg[1148,1]    -2.0e-01  6.7e-03  9.1e-01  -1.8e+00  -1.8e-01   1.3e+00  1.9e+04  4.5e-02  1.0e+00
z_jg[1148,2]     1.1e-01  6.7e-03  9.4e-01  -1.4e+00   9.8e-02   1.7e+00  1.9e+04  4.7e-02  1.0e+00
z_jg[1148,3]     4.4e-02  6.4e-03  8.7e-01  -1.4e+00   5.4e-02   1.5e+00  1.8e+04  4.4e-02  1.0e+00
z_jg[1148,4]    -7.8e-02  7.0e-03  9.7e-01  -1.7e+00  -7.1e-02   1.5e+00  1.9e+04  4.6e-02  1.0e+00
z_jg[1148,5]     9.1e-03  6.6e-03  1.0e+00  -1.7e+00   1.9e-02   1.7e+00  2.3e+04  5.5e-02  1.0e+00
z_jg[1148,6]    -1.1e-02  6.9e-03  1.0e+00  -1.7e+00  -1.7e-02   1.6e+00  2.1e+04  5.1e-02  1.0e+00
z_jg[1149,1]    -4.4e-01  6.2e-03  8.6e-01  -1.9e+00  -4.3e-01   9.5e-01  1.9e+04  4.6e-02  1.0e+00
z_jg[1149,2]     2.2e-01  7.2e-03  9.5e-01  -1.3e+00   2.1e-01   1.8e+00  1.7e+04  4.1e-02  1.0e+00
z_jg[1149,3]     2.1e-01  6.1e-03  8.8e-01  -1.3e+00   2.1e-01   1.6e+00  2.1e+04  4.9e-02  1.0e+00
z_jg[1149,4]    -1.1e-01  6.9e-03  9.5e-01  -1.7e+00  -9.4e-02   1.4e+00  1.9e+04  4.6e-02  1.0e+00
z_jg[1149,5]     5.1e-03  6.7e-03  1.0e+00  -1.6e+00   5.1e-03   1.7e+00  2.2e+04  5.3e-02  1.0e+00
z_jg[1149,6]     2.9e-03  6.9e-03  1.0e+00  -1.7e+00  -1.5e-03   1.7e+00  2.1e+04  5.1e-02  1.0e+00
z_jg[1150,1]    -5.9e-02  7.5e-03  8.4e-01  -1.5e+00  -4.0e-02   1.3e+00  1.2e+04  3.0e-02  1.0e+00
z_jg[1150,2]     4.0e-01  8.3e-03  9.4e-01  -1.2e+00   4.0e-01   2.0e+00  1.3e+04  3.1e-02  1.0e+00
z_jg[1150,3]    -1.8e-01  6.0e-03  8.9e-01  -1.6e+00  -1.8e-01   1.3e+00  2.2e+04  5.3e-02  1.0e+00
z_jg[1150,4]     9.3e-01  7.1e-03  7.2e-01  -2.4e-01   9.3e-01   2.1e+00  1.0e+04  2.5e-02  1.0e+00
z_jg[1150,5]    -2.3e-01  9.7e-03  1.0e+00  -1.9e+00  -2.3e-01   1.4e+00  1.1e+04  2.6e-02  1.0e+00
z_jg[1150,6]     3.3e-03  7.0e-03  1.0e+00  -1.6e+00   4.4e-03   1.7e+00  2.1e+04  5.0e-02  1.0e+00
z_jg[1151,1]    -6.1e-02  7.0e-03  9.7e-01  -1.7e+00  -5.5e-02   1.5e+00  1.9e+04  4.6e-02  1.0e+00
z_jg[1151,2]    -4.1e-02  6.9e-03  9.6e-01  -1.6e+00  -3.8e-02   1.6e+00  2.0e+04  4.7e-02  1.0e+00
z_jg[1151,3]     4.6e-01  6.5e-03  8.7e-01  -9.9e-01   4.6e-01   1.9e+00  1.8e+04  4.3e-02  1.0e+00
z_jg[1151,4]    -8.0e-02  6.5e-03  9.6e-01  -1.7e+00  -5.9e-02   1.5e+00  2.2e+04  5.3e-02  1.0e+00
z_jg[1151,5]     1.9e-02  6.9e-03  1.0e+00  -1.6e+00   2.8e-02   1.7e+00  2.1e+04  5.1e-02  1.0e+00
z_jg[1151,6]    -9.0e-03  7.0e-03  1.0e+00  -1.6e+00  -1.1e-02   1.6e+00  2.1e+04  4.9e-02  1.0e+00
z_jg[1152,1]     1.3e-01  7.2e-03  9.0e-01  -1.4e+00   1.5e-01   1.6e+00  1.6e+04  3.8e-02  1.0e+00
z_jg[1152,2]     1.6e-01  7.6e-03  9.6e-01  -1.4e+00   1.6e-01   1.7e+00  1.6e+04  3.9e-02  1.0e+00
z_jg[1152,3]     1.1e-01  6.7e-03  8.8e-01  -1.3e+00   1.2e-01   1.5e+00  1.7e+04  4.1e-02  1.0e+00
z_jg[1152,4]     5.8e-01  6.2e-03  7.2e-01  -6.0e-01   5.8e-01   1.7e+00  1.3e+04  3.2e-02  1.0e+00
z_jg[1152,5]    -1.6e-01  7.9e-03  1.0e+00  -1.8e+00  -1.6e-01   1.5e+00  1.6e+04  3.9e-02  1.0e+00
z_jg[1152,6]     1.0e-02  6.9e-03  1.0e+00  -1.6e+00   5.4e-03   1.7e+00  2.2e+04  5.2e-02  1.0e+00
z_jg[1153,1]    -3.5e-01  7.0e-03  9.3e-01  -1.9e+00  -3.4e-01   1.2e+00  1.7e+04  4.2e-02  1.0e+00
z_jg[1153,2]     1.2e-01  7.7e-03  9.7e-01  -1.5e+00   1.2e-01   1.7e+00  1.6e+04  3.8e-02  1.0e+00
z_jg[1153,3]    -1.7e-01  6.7e-03  9.7e-01  -1.8e+00  -1.6e-01   1.4e+00  2.1e+04  5.0e-02  1.0e+00
z_jg[1153,4]    -4.0e-01  6.3e-03  8.7e-01  -1.8e+00  -4.0e-01   1.0e+00  1.9e+04  4.6e-02  1.0e+00
z_jg[1153,5]     2.6e-02  7.2e-03  1.0e+00  -1.6e+00   3.0e-02   1.7e+00  2.0e+04  4.8e-02  1.0e+00
z_jg[1153,6]    -7.7e-03  6.9e-03  1.0e+00  -1.7e+00  -1.2e-02   1.7e+00  2.1e+04  5.1e-02  1.0e+00
z_jg[1154,1]    -1.1e-01  6.7e-03  9.5e-01  -1.7e+00  -9.6e-02   1.4e+00  2.0e+04  4.9e-02  1.0e+00
z_jg[1154,2]     3.0e-02  7.3e-03  9.8e-01  -1.6e+00   2.5e-02   1.6e+00  1.8e+04  4.3e-02  1.0e+00
z_jg[1154,3]    -1.6e-01  7.2e-03  9.9e-01  -1.8e+00  -1.6e-01   1.5e+00  1.9e+04  4.5e-02  1.0e+00
z_jg[1154,4]    -1.6e-01  6.7e-03  9.0e-01  -1.7e+00  -1.3e-01   1.3e+00  1.8e+04  4.4e-02  1.0e+00
z_jg[1154,5]     1.1e-02  6.4e-03  9.9e-01  -1.6e+00   1.1e-02   1.7e+00  2.4e+04  5.7e-02  1.0e+00
z_jg[1154,6]    -6.2e-03  6.9e-03  9.9e-01  -1.6e+00  -9.4e-03   1.6e+00  2.1e+04  5.0e-02  1.0e+00
z_jg[1155,1]    -5.9e-02  6.7e-03  9.8e-01  -1.7e+00  -4.8e-02   1.5e+00  2.2e+04  5.2e-02  1.0e+00
z_jg[1155,2]     2.5e-02  7.3e-03  9.7e-01  -1.6e+00   9.8e-03   1.6e+00  1.8e+04  4.3e-02  1.0e+00
z_jg[1155,3]     1.7e-02  6.3e-03  9.4e-01  -1.5e+00   1.2e-02   1.6e+00  2.2e+04  5.3e-02  1.0e+00
z_jg[1155,4]    -6.3e-02  6.1e-03  9.6e-01  -1.7e+00  -4.8e-02   1.5e+00  2.5e+04  5.9e-02  1.0e+00
z_jg[1155,5]     1.0e-02  7.5e-03  1.0e+00  -1.6e+00   1.2e-02   1.6e+00  1.8e+04  4.3e-02  1.0e+00
z_jg[1155,6]     8.3e-03  6.8e-03  1.0e+00  -1.6e+00   8.2e-03   1.6e+00  2.2e+04  5.2e-02  1.0e+00
z_jg[1156,1]    -7.4e-02  7.3e-03  9.9e-01  -1.7e+00  -7.3e-02   1.6e+00  1.8e+04  4.4e-02  1.0e+00
z_jg[1156,2]     1.9e-02  6.4e-03  9.9e-01  -1.6e+00   1.6e-02   1.7e+00  2.4e+04  5.7e-02  1.0e+00
z_jg[1156,3]     8.2e-02  6.7e-03  9.5e-01  -1.5e+00   8.4e-02   1.7e+00  2.0e+04  4.7e-02  1.0e+00
z_jg[1156,4]    -5.8e-02  6.8e-03  9.6e-01  -1.6e+00  -3.4e-02   1.5e+00  2.0e+04  4.8e-02  1.0e+00
z_jg[1156,5]    -1.3e-03  6.8e-03  1.0e+00  -1.6e+00  -6.0e-03   1.6e+00  2.2e+04  5.2e-02  1.0e+00
z_jg[1156,6]    -1.2e-02  7.0e-03  1.0e+00  -1.7e+00  -1.2e-02   1.7e+00  2.1e+04  5.1e-02  1.0e+00
z_jg[1157,1]    -8.5e-02  7.0e-03  9.5e-01  -1.7e+00  -6.8e-02   1.5e+00  1.9e+04  4.5e-02  1.0e+00
z_jg[1157,2]    -2.4e-02  6.3e-03  9.9e-01  -1.6e+00  -3.5e-02   1.6e+00  2.4e+04  5.8e-02  1.0e+00
z_jg[1157,3]     4.0e-01  6.8e-03  9.6e-01  -1.2e+00   4.0e-01   2.0e+00  2.0e+04  4.7e-02  1.0e+00
z_jg[1157,4]    -1.2e-01  6.6e-03  9.3e-01  -1.7e+00  -1.1e-01   1.4e+00  1.9e+04  4.7e-02  1.0e+00
z_jg[1157,5]     3.5e-03  7.7e-03  9.9e-01  -1.7e+00   8.4e-03   1.6e+00  1.7e+04  4.0e-02  1.0e+00
z_jg[1157,6]    -1.3e-02  6.8e-03  9.9e-01  -1.6e+00  -2.0e-02   1.6e+00  2.1e+04  5.1e-02  1.0e+00
z_jg[1158,1]    -3.0e-02  6.7e-03  9.9e-01  -1.6e+00  -4.0e-02   1.6e+00  2.2e+04  5.3e-02  1.0e+00
z_jg[1158,2]    -9.0e-02  7.0e-03  1.0e+00  -1.7e+00  -7.8e-02   1.5e+00  2.0e+04  4.9e-02  1.0e+00
z_jg[1158,3]     5.5e-01  6.7e-03  9.3e-01  -1.0e+00   5.6e-01   2.1e+00  1.9e+04  4.7e-02  1.0e+00
z_jg[1158,4]    -1.4e-01  6.7e-03  9.3e-01  -1.7e+00  -1.2e-01   1.4e+00  1.9e+04  4.7e-02  1.0e+00
z_jg[1158,5]    -1.6e-02  6.9e-03  9.9e-01  -1.7e+00  -2.2e-02   1.6e+00  2.1e+04  5.0e-02  1.0e+00
z_jg[1158,6]     6.6e-02  6.4e-03  1.0e+00  -1.6e+00   5.8e-02   1.7e+00  2.5e+04  5.9e-02  1.0e+00
z_jg[1159,1]    -4.3e-02  7.3e-03  1.0e+00  -1.7e+00  -3.6e-02   1.6e+00  1.9e+04  4.6e-02  1.0e+00
z_jg[1159,2]     4.1e-02  6.6e-03  1.0e+00  -1.6e+00   4.4e-02   1.7e+00  2.3e+04  5.5e-02  1.0e+00
z_jg[1159,3]    -2.4e-01  6.4e-03  9.8e-01  -1.8e+00  -2.3e-01   1.4e+00  2.3e+04  5.6e-02  1.0e+00
z_jg[1159,4]    -5.5e-02  6.3e-03  9.6e-01  -1.6e+00  -4.4e-02   1.5e+00  2.3e+04  5.5e-02  1.0e+00
z_jg[1159,5]     1.3e-02  6.4e-03  1.0e+00  -1.7e+00   1.4e-02   1.7e+00  2.5e+04  6.1e-02  1.0e+00
z_jg[1159,6]    -3.0e-03  7.1e-03  9.9e-01  -1.6e+00   3.4e-03   1.6e+00  2.0e+04  4.8e-02  1.0e+00
z_jg[1160,1]     3.0e-01  7.8e-03  9.6e-01  -1.3e+00   2.8e-01   1.9e+00  1.5e+04  3.6e-02  1.0e+00
z_jg[1160,2]     1.2e-01  8.5e-03  1.0e+00  -1.5e+00   1.2e-01   1.8e+00  1.4e+04  3.4e-02  1.0e+00
z_jg[1160,3]     1.4e-01  6.6e-03  9.5e-01  -1.4e+00   1.4e-01   1.7e+00  2.1e+04  5.0e-02  1.0e+00
z_jg[1160,4]     7.9e-01  6.5e-03  7.3e-01  -4.2e-01   7.9e-01   2.0e+00  1.2e+04  3.0e-02  1.0e+00
z_jg[1160,5]    -2.0e-01  8.7e-03  9.9e-01  -1.8e+00  -2.0e-01   1.4e+00  1.3e+04  3.1e-02  1.0e+00
z_jg[1160,6]    -7.7e-03  6.6e-03  1.0e+00  -1.6e+00  -1.6e-03   1.6e+00  2.3e+04  5.4e-02  1.0e+00
z_jg[1161,1]    -5.1e-01  6.6e-03  6.1e-01  -1.5e+00  -5.1e-01   4.9e-01  8.8e+03  2.1e-02  1.0e+00
z_jg[1161,2]    -2.7e-01  8.7e-03  8.4e-01  -1.7e+00  -2.7e-01   1.1e+00  9.4e+03  2.3e-02  1.0e+00
z_jg[1161,3]    -9.8e-01  6.1e-03  8.1e-01  -2.3e+00  -9.7e-01   3.6e-01  1.8e+04  4.2e-02  1.0e+00
z_jg[1161,4]     6.0e-01  6.8e-03  7.4e-01  -5.8e-01   5.7e-01   1.9e+00  1.2e+04  2.9e-02  1.0e+00
z_jg[1161,5]     2.0e-01  9.5e-03  1.0e+00  -1.5e+00   2.0e-01   1.9e+00  1.2e+04  2.8e-02  1.0e+00
z_jg[1161,6]    -5.1e-03  7.1e-03  1.0e+00  -1.7e+00  -4.8e-03   1.6e+00  2.0e+04  4.8e-02  1.0e+00
z_jg[1162,1]    -5.7e-01  6.5e-03  8.8e-01  -2.1e+00  -5.4e-01   8.6e-01  1.8e+04  4.4e-02  1.0e+00
z_jg[1162,2]     7.2e-02  7.0e-03  9.7e-01  -1.5e+00   7.9e-02   1.7e+00  1.9e+04  4.5e-02  1.0e+00
z_jg[1162,3]     2.4e-01  6.2e-03  8.4e-01  -1.1e+00   2.4e-01   1.6e+00  1.8e+04  4.4e-02  1.0e+00
z_jg[1162,4]    -4.8e-01  6.2e-03  8.8e-01  -1.9e+00  -4.8e-01   9.6e-01  2.0e+04  4.9e-02  1.0e+00
z_jg[1162,5]    -4.2e-02  7.2e-03  1.0e+00  -1.7e+00  -3.5e-02   1.6e+00  1.9e+04  4.7e-02  1.0e+00
z_jg[1162,6]    -1.8e-02  7.0e-03  9.9e-01  -1.6e+00  -2.9e-02   1.6e+00  2.0e+04  4.8e-02  1.0e+00
z_jg[1163,1]     3.9e-01  6.2e-03  7.3e-01  -8.3e-01   4.1e-01   1.6e+00  1.4e+04  3.3e-02  1.0e+00
z_jg[1163,2]    -8.2e-01  7.7e-03  8.8e-01  -2.2e+00  -8.3e-01   6.2e-01  1.3e+04  3.1e-02  1.0e+00
z_jg[1163,3]    -1.9e-01  5.6e-03  7.5e-01  -1.4e+00  -1.9e-01   1.0e+00  1.8e+04  4.3e-02  1.0e+00
z_jg[1163,4]    -3.3e-01  6.2e-03  8.9e-01  -1.8e+00  -3.2e-01   1.1e+00  2.0e+04  4.9e-02  1.0e+00
z_jg[1163,5]    -2.6e-02  7.0e-03  1.0e+00  -1.7e+00  -2.4e-02   1.6e+00  2.0e+04  4.9e-02  1.0e+00
z_jg[1163,6]     7.4e-03  6.9e-03  9.9e-01  -1.6e+00   2.4e-03   1.6e+00  2.0e+04  4.9e-02  1.0e+00
z_jg[1164,1]     6.8e-01  7.3e-03  6.9e-01  -4.8e-01   7.0e-01   1.8e+00  9.0e+03  2.2e-02  1.0e+00
z_jg[1164,2]    -8.6e-01  8.8e-03  8.5e-01  -2.3e+00  -8.5e-01   5.5e-01  9.3e+03  2.2e-02  1.0e+00
z_jg[1164,3]     1.9e-01  6.0e-03  7.4e-01  -1.0e+00   1.9e-01   1.4e+00  1.5e+04  3.7e-02  1.0e+00
z_jg[1164,4]     4.4e-01  5.8e-03  7.0e-01  -7.3e-01   4.4e-01   1.6e+00  1.4e+04  3.5e-02  1.0e+00
z_jg[1164,5]     7.5e-02  7.0e-03  1.0e+00  -1.6e+00   6.9e-02   1.7e+00  2.0e+04  4.9e-02  1.0e+00
z_jg[1164,6]     1.4e-03  6.8e-03  1.0e+00  -1.7e+00   8.9e-03   1.6e+00  2.1e+04  5.1e-02  1.0e+00
z_jg[1165,1]     3.6e-01  6.4e-03  5.5e-01  -5.7e-01   3.6e-01   1.3e+00  7.4e+03  1.8e-02  1.0e+00
z_jg[1165,2]    -4.3e-01  8.4e-03  8.0e-01  -1.7e+00  -4.4e-01   8.8e-01  9.0e+03  2.2e-02  1.0e+00
z_jg[1165,3]     3.1e-03  5.7e-03  7.5e-01  -1.2e+00  -6.2e-04   1.2e+00  1.7e+04  4.2e-02  1.0e+00
z_jg[1165,4]     2.2e-02  6.1e-03  7.0e-01  -1.1e+00   1.7e-02   1.2e+00  1.3e+04  3.1e-02  1.0e+00
z_jg[1165,5]     2.2e-02  7.3e-03  9.9e-01  -1.6e+00   3.0e-02   1.6e+00  1.9e+04  4.5e-02  1.0e+00
z_jg[1165,6]     6.2e-03  7.6e-03  1.0e+00  -1.6e+00   8.2e-03   1.7e+00  1.7e+04  4.2e-02  1.0e+00
z_jg[1166,1]    -9.5e-01  6.2e-03  7.4e-01  -2.2e+00  -9.2e-01   2.0e-01  1.4e+04  3.4e-02  1.0e+00
z_jg[1166,2]     3.4e-01  7.3e-03  9.2e-01  -1.2e+00   3.3e-01   1.9e+00  1.6e+04  3.8e-02  1.0e+00
z_jg[1166,3]    -3.5e-01  5.7e-03  7.6e-01  -1.6e+00  -3.5e-01   9.1e-01  1.8e+04  4.2e-02  1.0e+00
z_jg[1166,4]     1.8e-01  6.1e-03  6.9e-01  -9.7e-01   1.9e-01   1.3e+00  1.3e+04  3.1e-02  1.0e+00
z_jg[1166,5]     7.6e-02  7.0e-03  9.9e-01  -1.6e+00   8.5e-02   1.7e+00  2.0e+04  4.8e-02  1.0e+00
z_jg[1166,6]    -1.1e-03  7.0e-03  1.0e+00  -1.7e+00   2.3e-02   1.6e+00  2.1e+04  5.0e-02  1.0e+00
z_jg[1167,1]     1.6e-01  8.2e-03  8.8e-01  -1.3e+00   1.8e-01   1.6e+00  1.2e+04  2.8e-02  1.0e+00
z_jg[1167,2]     9.6e-03  8.6e-03  1.0e+00  -1.6e+00   3.0e-03   1.7e+00  1.4e+04  3.3e-02  1.0e+00
z_jg[1167,3]     1.2e+00  6.3e-03  8.0e-01  -8.7e-02   1.2e+00   2.5e+00  1.6e+04  3.8e-02  1.0e+00
z_jg[1167,4]     7.6e-01  7.3e-03  7.1e-01  -4.3e-01   7.8e-01   1.9e+00  9.4e+03  2.3e-02  1.0e+00
z_jg[1167,5]     1.5e-01  7.7e-03  9.9e-01  -1.5e+00   1.4e-01   1.8e+00  1.7e+04  4.0e-02  1.0e+00
z_jg[1167,6]     4.0e-03  6.8e-03  1.0e+00  -1.6e+00  -1.0e-03   1.7e+00  2.2e+04  5.2e-02  1.0e+00
z_jg[1168,1]    -3.1e-01  6.8e-03  8.3e-01  -1.7e+00  -2.9e-01   1.0e+00  1.5e+04  3.5e-02  1.0e+00
z_jg[1168,2]     1.6e-01  7.2e-03  9.4e-01  -1.4e+00   1.6e-01   1.7e+00  1.7e+04  4.1e-02  1.0e+00
z_jg[1168,3]     3.7e-01  5.4e-03  7.5e-01  -8.7e-01   3.7e-01   1.6e+00  1.9e+04  4.6e-02  1.0e+00
z_jg[1168,4]     5.9e-02  6.9e-03  7.0e-01  -1.1e+00   6.6e-02   1.2e+00  1.0e+04  2.5e-02  1.0e+00
z_jg[1168,5]     8.3e-02  6.8e-03  9.9e-01  -1.5e+00   9.3e-02   1.7e+00  2.1e+04  5.1e-02  1.0e+00
z_jg[1168,6]    -1.8e-02  7.2e-03  1.0e+00  -1.7e+00  -2.3e-02   1.7e+00  2.0e+04  4.9e-02  1.0e+00
z_jg[1169,1]     4.3e-01  6.6e-03  7.4e-01  -7.9e-01   4.3e-01   1.7e+00  1.3e+04  3.0e-02  1.0e+00
z_jg[1169,2]    -5.7e-02  7.4e-03  8.8e-01  -1.5e+00  -7.2e-02   1.4e+00  1.4e+04  3.4e-02  1.0e+00
z_jg[1169,3]    -4.5e-01  6.6e-03  9.3e-01  -2.0e+00  -4.5e-01   1.1e+00  2.0e+04  4.8e-02  1.0e+00
z_jg[1169,4]     3.9e-01  6.8e-03  6.5e-01  -6.9e-01   3.8e-01   1.4e+00  9.2e+03  2.2e-02  1.0e+00
z_jg[1169,5]     7.5e-02  7.1e-03  9.4e-01  -1.5e+00   8.7e-02   1.6e+00  1.8e+04  4.2e-02  1.0e+00
z_jg[1169,6]    -7.6e-03  7.2e-03  9.8e-01  -1.6e+00  -5.2e-04   1.6e+00  1.9e+04  4.5e-02  1.0e+00
